,mood,title,tags,artist_name
6204,peaceful,"Sonata No. 13 in E Flat Major, Op. 27 No. 1 - I. Andante - Allegro - Tempo I","['piano', 'beethoven', 'classical', 'romanticism']",Daniel Veesey
6205,peaceful,"Sonata No. 13 in E Flat Major, Op. 27 No. 1 - II. Allegro molto e vivace","['piano', 'beethoven', 'classical', 'romanticism']",Daniel Veesey
6206,peaceful,"Sonata No. 13 in E Flat Major, Op. 27 No. 1 - III. Adagio con espressione","['piano', 'beethoven', 'classical', 'romanticism']",Daniel Veesey
6455,peaceful,"Beethoven - Piano Sonata nr.15 in D major op.28 ""Pastoral"" - I. Allegro","['classical', 'beethoven', 'piano', 'romanticism']",Karine Gilanyan
6456,peaceful,"Beethoven - Piano Sonata nr.15 in D major op.28 ""Pastoral"" - II. Andante","['classical', 'beethoven', 'piano', 'romanticism']",Karine Gilanyan
6457,peaceful,"Beethoven - Piano Sonata nr.15 in D major op.28 ""Pastoral"" - III. Scherzo. Allegro Vivace","['classical', 'beethoven', 'piano', 'romanticism']",Karine Gilanyan
6458,peaceful,"Beethoven - Piano Sonata nr.15 in D major op.28 ""Pastoral"" - IV. Rondo. Allegro ma non troppo","['classical', 'beethoven', 'piano', 'romanticism']",Karine Gilanyan
6468,peaceful,"Sonata 'Waldstein', Op. 53 - II. Introduzione-Adagio molto","['classical', 'romanticism', 'piano', 'beethoven', 'romantic era']",Michael Hawley
6469,peaceful,"Sonata 'Waldstein', Op. 53 - III. Rondo-Allegretto moderato","['classical', 'romanticism', 'piano', 'beethoven', 'romantic era']",Michael Hawley
6470,peaceful,"Sonata No. 21 in C Major 'Waldstein', Op. 53 - I. Allegro con brio","['classical', 'romanticism', 'piano', 'beethoven', 'romantic era']",Michael Hawley
6481,peaceful,"Schubert's Sonata in B Flat, D. 960 - I. Molto moderato.mp3","['classical', 'franz peter schubert', 'piano']",David H. Porter
6482,peaceful,"Schubert's Sonata in B Flat, D. 960 - II. Andante sostenuto","['classical', 'franz peter schubert', 'piano']",David H. Porter
6483,peaceful,"Schubert's Sonata in B Flat, D. 960 - III. Scherzo (Allegro vivace con delicatezza)","['classical', 'franz peter schubert', 'piano']",David H. Porter
6770,happy,The Mysticism of my Fucking Sound,['egypt'],Preggy Peggy &amp; The Lazy Babymakers
6970,sad,Fools With Tools,['radon'],Koonda Holaa
6971,sad,Knickers to the Right,['radon'],Koonda Holaa
6972,sad,It's Not Like You (Always),['radon'],Koonda Holaa
6973,sad,Gadget,['radon'],Koonda Holaa
6974,sad,Try To Find Me,['radon'],Koonda Holaa
6975,sad,10 Acres of the Finest Sand,['radon'],Koonda Holaa
6976,happy,Where the Fuck Is the Rainbow,['radon'],"Koonda Holaa w/ Otto Von Shirack, DJ Urine and Man-Eater Orchestra"
6977,sad,God Forsaken Town,['radon'],Koonda Holaa
7104,sad,Satie (First Gnossienne),['vocal experimental'],Big Blood
7105,sad,Suffer Creation,['vocal experimental'],Big Blood
7106,sad,Sovereignty You Bitch,['vocal experimental'],Big Blood
7107,sad,Handsome Son Of No One,['vocal experimental'],Big Blood
7108,sad,Satie II,['vocal experimental'],Big Blood
7109,sad,My Last Days As A Fish,['vocal experimental'],Big Blood
7110,sad,Indang Pariman,['vocal experimental'],Big Blood
7111,sad,The Fall Of Quinnisa Rose,['vocal experimental'],Big Blood
7112,sad,A Goddamn Spell,['vocal experimental'],Big Blood
7234,funky,Hungaria,"['gypsy jazz', 'france']",Latché Swing
7235,funky,Songe D'Automne,"['gypsy jazz', 'france']",Latché Swing
7236,funky,Sweet Georgia Brown,"['gypsy jazz', 'france']",Latché Swing
7237,funky,Menilmontant,"['gypsy jazz', 'france']",Latché Swing
7238,funky,Rythme Gitan,"['gypsy jazz', 'france']",Latché Swing
7239,funky,Swing 39,"['gypsy jazz', 'france']",Latché Swing
7354,peaceful,Elegy upon the death of Thomas Farmer (H. Purcell),"['lute', 'baroque', 'voice', 'vocal']",Jody Pou
7355,peaceful,Mentre che'l cor (S. d'India),"['lute', 'baroque', 'voice', 'vocal']",Jody Pou
7356,peaceful,Hor che tempo di dormire (T. Merula),"['lute', 'baroque', 'voice', 'vocal']",Jody Pou
7357,peaceful,Fin che tu spiri (B. Strozzi),"['lute', 'baroque', 'voice', 'vocal']",Jody Pou
7358,peaceful,Se l'aura spira (G. Frescobaldi),"['lute', 'baroque', 'voice', 'vocal']",Jody Pou
7359,peaceful,Udite amanti (B. Strozzi),"['lute', 'baroque', 'voice', 'vocal']",Jody Pou
7956,happy,Lift Off,"['clinical archives', 'austria', 'space-rock', 'spain', 'psychedelic', 'germany', 'rock']",Interkosmos
7957,happy,Hypnotizer,"['clinical archives', 'austria', 'space-rock', 'spain', 'psychedelic', 'germany', 'rock']",Interkosmos
7958,happy,Edentrip,"['clinical archives', 'austria', 'space-rock', 'spain', 'psychedelic', 'germany', 'rock']",Interkosmos
7959,happy,Kosmos Amigos,"['clinical archives', 'austria', 'space-rock', 'spain', 'psychedelic', 'germany', 'rock']",Interkosmos
7960,happy,Floatboat,"['clinical archives', 'austria', 'space-rock', 'spain', 'psychedelic', 'germany', 'rock']",Interkosmos
7961,happy,Rockit,"['clinical archives', 'austria', 'space-rock', 'spain', 'psychedelic', 'germany', 'rock']",Interkosmos
8041,sad,My Orchard Fire,"['clinical archives', 'folk', 'acoustic']",Menhirs of Er Grah
8042,sad,Different World,"['clinical archives', 'folk', 'acoustic']",Menhirs of Er Grah
8043,sad,Some Days,"['clinical archives', 'folk', 'acoustic']",Menhirs of Er Grah
8044,sad,Red Roses,"['clinical archives', 'folk', 'acoustic']",Menhirs of Er Grah
8045,sad,No Simpler Now You're Gone,"['clinical archives', 'folk', 'acoustic']",Menhirs of Er Grah
8046,sad,The Last Time,"['clinical archives', 'folk', 'acoustic']",Menhirs of Er Grah
8138,sad,Home On The Range,"['hill music', 'country', 'appalachian', 'folk', 'banjo', 'down home radio', 'bluegrass']",Old Town School Of Folk Music (Various)
8139,sad,John Henry,"['hill music', 'country', 'appalachian', 'folk', 'banjo', 'down home radio', 'bluegrass']",Foghorn Stringband
8240,funky,Sadness,"['clinical archives', 'jazz']",Sandro Marinoni
8241,funky,Soyuz,"['clinical archives', 'jazz']",Sandro Marinoni
8242,funky,Frame,"['clinical archives', 'jazz']",Sandro Marinoni
8243,funky,Head Bone,"['clinical archives', 'jazz']",Sandro Marinoni
8244,funky,Dark Solo,"['clinical archives', 'jazz']",Sandro Marinoni
8245,funky,The Other Side,"['clinical archives', 'jazz']",Sandro Marinoni
8246,funky,Requiem,"['clinical archives', 'jazz']",Sandro Marinoni
8247,funky,Sadio,"['clinical archives', 'jazz']",Sandro Marinoni
8248,funky,Funeral March For A Bar Of Soap,"['clinical archives', 'jazz']",Sandro Marinoni
8249,funky,Zimbabwe,"['clinical archives', 'jazz']",Sandro Marinoni
8372,dance,Upbeat Style,"['mr spastic', 'chip music']",Mr. Spastic
8373,dance,8 to 16 Bit (About to get sick),"['mr spastic', 'chip music']",Mr. Spastic
8374,dance,b3ta B1t3r,"['mr spastic', 'chip music']",Mr. Spastic
8375,dance,Disco Electro Simplex,"['mr spastic', 'chip music']",Mr. Spastic
8376,dance,FNSP,"['mr spastic', 'chip music']",Mr. Spastic
8377,dance,tEh (r0x!),"['mr spastic', 'chip music']",Mr. Spastic
8709,happy,Bad Sign,"['indie-rock', 'brad sucks']",Brad Sucks
8720,dance,Transpose,"['8bit', 'electronic', 'chip music', 'mr spastic']",Mr. Spastic
8765,happy,A Moderate Breeze,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8766,happy,This Tenderness,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8767,happy,Golden Spoon,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8768,happy,Arrows &amp; Bows,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8769,happy,Dolphins &amp; Seaquakes,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8770,happy,Sight Unseen,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8771,happy,I Don´t Care,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8772,happy,City Cultures,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8773,happy,Chaos Back,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8774,happy,You,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8775,happy,Interlude,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8776,happy,Virtual Sun,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8777,happy,Minerals,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8778,happy,Next To Mine,"['clinical archives', 'indie-rock', 'alternative']",pandoras.box
8780,happy,Mania,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8781,happy,Shark,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8782,happy,Start,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8783,happy,Hazing,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8784,happy,Speed and Sleep,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8785,happy,Devil's Roof,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8786,happy,Say Goodbye,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8787,happy,Tar Kissers,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8788,happy,Limbo,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8789,happy,Bright Yellow Gun,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8790,happy,Vicky's Box,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8791,happy,Bea,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8792,happy,Pearl,"['primavera sound', 'live', 'throwing muses', 'barcelona']",Throwing Muses
8799,happy,Track 6,['barcelona'],Magik Markers
8800,happy,Taste,['barcelona'],Magik Markers
8801,happy,Jerks,['barcelona'],Magik Markers
8802,happy,Track 3,['barcelona'],Magik Markers
8803,happy,Risperdal,['barcelona'],Magik Markers
8804,happy,Axis Mundi,['barcelona'],Magik Markers
8805,angry,Live in Tallinn,"['clinical archives', 'electroacoustic', 'electronic', 'live', 'experimental', 'noise']",Violet
8806,dance,Silence Like the Wind,['barcelona'],Dan Deacon
8807,angry,(intro),['barcelona'],Dan Deacon
8808,dance,Get Older,['barcelona'],Dan Deacon
8809,dance,Red F,['barcelona'],Dan Deacon
8810,angry,(banter / ladder),['barcelona'],Dan Deacon
8811,dance,Woof Woof,['barcelona'],Dan Deacon
8812,angry,(banter),['barcelona'],Dan Deacon
8813,dance,Of the Mountains,['barcelona'],Dan Deacon
8814,angry,(tunnel instructions),['barcelona'],Dan Deacon
8815,dance,Baltihorse,['barcelona'],Dan Deacon
8816,dance,Crystal Cat,['barcelona'],Dan Deacon
8817,angry,interview with Brian Turner,['barcelona'],Dan Deacon
8988,happy,Tenebroso,"['clinical archives', 'space-rock', 'psychedelic', 'rock']",Squadra Omega
8995,angry,banjo bird,"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
8996,angry,calm (for chris whitley),"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
8997,angry,capitulation part I,"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
8998,angry,capitulation part II (more or less rules),"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
8999,angry,colordeaf,"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
9000,angry,das biest,"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
9001,angry,exhaustionhole (for a klee),"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
9002,angry,gilliamphony (very tiny one),"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
9003,angry,insektenmusik,"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
9004,angry,squirt,"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
9005,angry,to hal,"['clinical archives', 'jazz', 'experimental', 'improvisation']",guitarrorisms
9097,happy,Will You Dance With Me,['barcelona'],Jeremy Jay
9098,happy,Escape to Aspen,['barcelona'],Jeremy Jay
9099,happy,In This Lonely Town,['barcelona'],Jeremy Jay
9100,happy,Days of Casting Clouds Away,['barcelona'],Jeremy Jay
9101,happy,Beautiful Rebel,['barcelona'],Jeremy Jay
9102,happy,Love Everlasting,['barcelona'],Jeremy Jay
9103,happy,Lite Beam,['barcelona'],Jeremy Jay
9104,happy,Gallop,['barcelona'],Jeremy Jay
9105,happy,Secret Sounds,['barcelona'],Jeremy Jay
9106,happy,Hold Me In Your Arms Tonite,['barcelona'],Jeremy Jay
9107,happy,Breaking The Ice,['barcelona'],Jeremy Jay
9312,happy,The End,['barcelona'],Vivian Girls
9313,happy,Track 09,['barcelona'],Vivian Girls
9314,happy,Track 15,['barcelona'],Vivian Girls
9315,happy,Such A Joke,['barcelona'],Vivian Girls
9316,happy,Second Date,['barcelona'],Vivian Girls
9317,happy,Wild Eyes,['barcelona'],Vivian Girls
9318,happy,Can't Get Over You,['barcelona'],Vivian Girls
9319,happy,Surfin' Away,['barcelona'],Vivian Girls
9491,angry,Intro,"['clinical archives', 'electronic', 'experimental', 'improvisation']",Maria Grigoryeva
9492,angry,Transfering,"['clinical archives', 'electronic', 'experimental', 'improvisation']",Maria Grigoryeva
9493,angry,Idea F(i)X,"['clinical archives', 'electronic', 'experimental', 'improvisation']",Maria Grigoryeva
9494,angry,Transfer through flowers,"['clinical archives', 'electronic', 'experimental', 'improvisation']",Maria Grigoryeva
9495,angry,Unknown,"['clinical archives', 'electronic', 'experimental', 'improvisation']",Maria Grigoryeva
9496,angry,Transfering 2,"['clinical archives', 'electronic', 'experimental', 'improvisation']",Maria Grigoryeva
9717,happy,Nihilist,['bg'],JJM
9718,happy,Pass Away,['bg'],Stromble Fix
9719,happy,Graffiti,['bg'],Confusion Is Next
9720,happy,Animals,['bg'],Entertainment for the Braindead
9721,happy,Beautiful,['bg'],DeathBoy
9722,dance,The Bubblemaker,['bg'],Scrambled Mache
9723,confident/sassy,Star,['bg'],Jay Slim
9724,confident/sassy,Rock da Dam (Featuring Portformat),['bg'],Comfort Fit
9725,happy,11:11,['bg'],Christopher Joel
9726,confident/sassy,Thought You Knew,['bg'],Jay Slim
9727,confident/sassy,The New Black Sampler,['bg'],Just Plain Ant
9752,angry,Swimming in it,['new zealand'],Greg Malcolm
9798,happy,Incubi-Succubi,"['clinical archives', 'industrial']","Daina Dieva, Svart1"
9863,happy,Falling,"['melodic', 'gentle', 'pop', 'twizzle']",Twizzle
9864,happy,Black Elk Mountain,"['melodic', 'gentle', 'pop', 'twizzle']",Twizzle
9865,happy,This Is No Chanson,"['melodic', 'gentle', 'pop', 'twizzle']",Twizzle
9866,happy,Barefoot Girl/ Pebble Road,"['melodic', 'gentle', 'pop', 'twizzle']",Twizzle
9929,happy,Pedalo,"['clinical archives', 'electronic', 'new wave', 'experimental', 'post-punk']",John Ellis
9930,happy,Elephant goes bad,"['clinical archives', 'electronic', 'new wave', 'experimental', 'post-punk']",John Ellis
9931,happy,Stuttergun,"['clinical archives', 'electronic', 'new wave', 'experimental', 'post-punk']",John Ellis
9932,happy,Fall Down Screaming,"['clinical archives', 'electronic', 'new wave', 'experimental', 'post-punk']",John Ellis
9933,happy,Raudive Voices,"['clinical archives', 'electronic', 'new wave', 'experimental', 'post-punk']",John Ellis
