video_title,video_id,moods,labeled
Steam Phunk - Feelings (No Copyright Music),qHvOC-p48xM,IN-LOVE,t
No Copyright video background and music background for free download,q4glVByn5As,SAD,t
Kontinuum - Lost (feat. Savoi) [JJD Remix] | NCS Release nocopyrightsounds Youtube Audio Library,pqGttmk6s7o,IN-LOVE,t
Clouds Copyright Free music for youtube audio library Copyright free music,mFqPJfKZrHI,CHILL,t
Rameses B - Game Of Thrones [No copyright Music],r8kaw469k70,CONFIDENT-SASSY,t
Broken Elegance --- Snow Bury Us (No Copyright Music),o9fmj5nKwvQ,SAD,t
"TSUBASA CHRONICLE · ""A Song Of Storm & Fire"" [INSTRUMENTAL]",j2YzICisNyY,IN-LOVE,t
Sayonee  | Junoon Karaoke with Lyrics | No Copyright Royalty Free Music,efUwUtOixM8,CONFIDENT-SASSY,t
Drop It Copyright Free music for youtube audio library Copyright free music,_iMw8EOfkD8,HAPPY,t
Tobu & Jim Yosef - Miracle | No Copyright Music,YM2k7HE0Tyc,CONFIDENT-SASSY,t
Stryv - Strike (No Copyright Music),iBvGq_Gy0Xw,CONFIDENT-SASSY,t
Ua Tus Ntawm Koj Ib Sab Instrumental + Lyrics - Hayengchi Hawj,hS3Le3yFZYU,IN-LOVE,t
Childrens Music [No Copyright & Royalty Free] Peaceful Kids Slow | MELODIE VICTORIA,bW6SGOggddE,HAPPY,t
Harald Revery --- Eventful Sunset (No Copyright Music),a3AulmZjHKs,HAPPY,t
EMINEM - LOSE YOURSELF INSTRUMENTAL [NO COPYRIGHT] + DOWNLOAD LINK,TI3vWnwIckI,ANGRY,t
Kelly Latimore - Ode to Humming [No Copyright + Royalty Free Music],Z5dLvZro6k4,CHILL,t
[Electro Swing] Odd Chap - Midnight Sway [No Copyright Music],XO9MIaCsXVg,CONFIDENT-SASSY,t
[No Copyright Free Music Sounds] My inspiration CHILL,Cx-F6iVSXZE,CHILL,t
INSANE BASS BOOST! | Zhu - Faded (SNBRN & KLATCH REMIX) | No copyright ( Read description ),BncdpoAjj6M,CONFIDENT-SASSY,t
Faded By Alan Walker | NCM NoCopyrightMusic Audio-Library |,RUi-CD4NSGI,HAPPY,t
No copyright music // free music //,F6hb2cv-FPY,ANGRY,t
No copyright music // free music //,IMyqLQmRUyU,CHILL,t
Kevin MacLeod - The Complex with Download Link l Royalty Free Music l YouTube Free Audio Library,LDpoWB3dbqw,CHILL,t
Itro & Tobu - Cloud 9 [NCS Release] mp3 Youtube Audio Library,L86oOSKxDJ8,HAPPY,t
Dj Quads --- Intersection (No Copyright Music),KCUjTU5EkVw,HAPPY,t
No Copyrigt Music ♫ Kalon — Extenz ♫ Promoted By Free Music Arny,2_fDqZPRcOE,CHILL,t
[Electro Swing] DJ Rouni & Kross - The Old Men [No Copyright Music],0lKwgyf9peE,HAPPY,t
Audio Library – No Copyright Music 2 Good For You - THBD,2DOVdtsgdnQ,HAPPY,t
DJ LAGU SYANTIK (NO COPYRIGHT SONG),28GhSKc1m_k,HAPPY,t
Emotional Sad Music - Sad Guitar [No Copyright Music],8iDStFNWd_o,SAD,t
Adrian van Sin & PHENIX - Body (No Copyright Music),9xNhdZfMvmg,CONFIDENT-SASSY,t
Waiting For - Alex Ich - NCS - No Copyright Song [PUNU PATEL],9gEs9rUlvtA,HAPPY,t
Audio Library - No Copyright Music / Royalty Free Music / 저작권 없는 음악 / 저작권 무료 음악,805iwE6cdxk,CHILL,t
Audio Library - No Copyright Music / Royalty Free Music / 저작권 없는 음악 / 저작권 무료 음악,72D-dLUK6GI,CHILL,t
SKANDR Slingshot (Arakel Fun No Copyright  Music),5YMNPvppD-M,HAPPY,t
Barren Gates & M.I.M.E - Enslaved | No Copyright Music,-i70a2rcoeA,CONFIDENT-SASSY,t
Prefekt - Numb Ft. Johnning | No Copyright Music,-Ei5-gy8Wy8,CONFIDENT-SASSY,t
Bass Boosted ~ Arms Dealer from YouTube Audio Library 👌🎼🎵🎧,QlP0ZFvheZQ,CONFIDENT-SASSY,t
Whither Must I Wander Copyright Free music for youtube 2017 audio library Copyright free music,d6RHnY8Sb2o,SAD,t
(No Copyright) Energetic Background Music For YouTube Videos - by ARGsound,KnQYvnL5-AM,ANGRY,t
Kevin MacLeod - Life of Riley l Royalty Free Music l YouTube Free Audio Library,mhGi0M06_cM,HAPPY,t
Kevin MacLeod - Blip Stream l Royalty Free Music l YouTube Free Audio Library,gEoJx-8N-x8,HAPPY,t
Brethren Arise - Chris Zabriskie | YouTube Audio Library,aL_plU3Nbh4,HAPPY,t
Nkauj Hmoob Xieng Khouang Instrumental + Lyrics - Lee Kong Xiong & PajZaub Thoj,gJ-7Pxd8O9k,CHILL,t
(no copyright music) making videos YouTube audio library,OuUtmQ8yPP4,CONFIDENT-SASSY,t
Rival x Cadmium - Seasons (feat. Harley Bird) | No Copyright Music,W7cp10P_XeY,HAPPY,
NEFFEX - Things Are Gonna Get Better | No Copyright Music,aURq2wiESaE,HAPPY,
Jean Tè - Summer (feat. Harley Bird) | No Copyright Music,MIr723-pamU,HAPPY,
TheFatRat - MAYDAY (feat. Laura Brehm) | No Copyright Music,MUcwtIsBaEA,HAPPY,
Rolipso - Delight | No Copyright Music,VPxBnMkzLlU,HAPPY,
Defqwop - Heart Afire (feat. Strix) | No Copyright Music,NdMneokuckA,HAPPY,
Alan Walker - Force [NCS Release] MP3 nocopyrightsounds Youtube Audio Library,Nvl6MrK_hR0,HAPPY,
[No Copyright Music] Del - New Beginning (Dance & EDM Background Music),SQYLT5GHKY8,HAPPY,
INVINCIBLE DEAF KEV  (Arakel Fun No Copyright  Music),R7QzLOClWx4,HAPPY,
Ikson Views (Arakel Fun No Copyright Music),CGR_IGHPDr0,HAPPY,
Can Can by Offenbach | Best copyright free music From audio library,Eq8ktWh0MB0,HAPPY,t
Transcend - Audionautix | YouTube Audio Library,rGBjUEX0KCY,CHILL,t
[No Copyright Free Music Sounds] Donruth VLOG,wfAA6Zq7ce8,CHILL,t
Busy Beat | Best copyright free music From audio library,NdJ2y5honvM,ANGRY,t
Touchpoint - Audionautix | YouTube Audio Library,nhItxe_2IL4,CHILL,t
Alan Walker   Fade NCS Release  mp3 nocopyrightsounds Youtube Audio Library,XplxkZeg838,HAPPY,t
Best Trap Music Remix 2019 (Party 47 )No Copyright-Royalty Free Music-Telifsiz Müzikler-Trap Beat,EtUElWLedFM,CONFIDENT-SASSY,t
Cinematic Motivational - (No Copyright) Epic Background Music For Videos - by AShamaluevMusic,NFgSp8AMuVQ,CONFIDENT-SASSY,t
NIKI - I LIKE U (IONIKA INSTRUMENTAL),Q6PYVr6o2pk,IN-LOVE,t
No Copyright Music ✓ Audio Library ✓ N0013 Rain and Tears Neutrin - @ltaf4you,T45e-AiXMQs,HAPPY,t
Electro-Light - Symbolism MP3 [NCS Release] Youtube Audio Library,kj50aPJBJ40,HAPPY,t
NCM - Audio library - Music for Videos | Ambient  - Calm,o2P3RY8zOmM,CHILL,t
Cinematic Music [No Copyright & Royalty Free] Anticipation Mystery Content | DARKEST CHILD,b5fBCcEvz1I,CHILL,t
No Copyright Music ✓ Audio Library ✓ N0002 Delusio Feat Gina Livia FortyThr33 X Epshteyn - @ltaf4you,_t95OgR5Xyk,HAPPY,t
Royalty Free No Copyright Best Music Library Download The Lounge,xMu7dOzOGV8,CHILL,t
NEFFEX - Rumors | No Copyright Music,xE00FNd_cmY,ANGRY,t
The House Glows (With Almost No Help) - Chris Zabriskie | YouTube Audio Library,teUMY6YeUcY,SAD,t
Midsummer Nights Dream by Mendelssohn Copyright Free music for youtube audio library,p790A7zxtS4,HAPPY,t
Cinematic Documentary - (No Copyright Music) Background Music For Videos & Films - by AShamaluev,n1g2B2YzDDI,CHILL,t
4K (NO COPYRIGHT VIDEO+MUSIC) Copyright Free Music+Video  for YouTube Videos part 2,li5BrhuhgS0,SAD,t
Nimeni Altu' - Aşa raman INSTRUMENTAL,_UFFw55O7Gw,CHILL,t
[No copyright Music] THBD - Stay Around,hhtiF-iJfYE,CHILL,t
♩♫ Epic Pirate Music ♪♬ - Pirate Crew (Copyright and Royalty Free),hVBgKCYrI-c,CHILL,t
[No Copyright Free Music Sounds] Alonso CHILL,EGvksTUEfFE,CHILL,t
Free Music Best of No Copyright Sounds 2016   No copyright music   Gaming Mix   Free download ses,TOt_wa7K4Hc,HAPPY,t
Straight - Bensound | Musik Backsound Video | No Copyright Music | Background Video Keren,DExrb2yGY2k,HAPPY,t
The Dark Glow of the Mountains - Chris Zabriskie | YouTube Audio Library,PW4CIyvsMSk,SAD,t
Inova --- Blown Away (No Copyright Music),Ldea9h63Glw,ANGRY,t
[No Copyright Free Music Sounds] Androgyny CHILL,LVKhgUWH-5s,CHILL,t
AudioJungle Free Pack A Best Collection 2018 (No Copyright Music),M0XqFWDLkzs,HAPPY,t
[No Copyright Music] Thunderbolt - Wind,2lM7WtzGIP4,CHILL,t
Remembering her face Copyright Free music for youtube 2017 audio library Copyright free music,06svz1ZnuQg,CHILL,t
[No Copyright Free Music Sounds] Make sure CHILL,0NZbwtsPvS4,CHILL,t
Between the Drops  The Whole Other [] Free To Use Audio Library [],2HNcMvO6YYc,CHILL,t
Katrina Stone - Never Wanna Grow Up (Vlog No Copyright Music),Az3zabiXlu8,HAPPY,t
Good Vibe - वॆंnk (No Copyright Vlog Music) DOWNLOAD LINK,AYbMginOMwQ,HAPPY,t
Darker Thoughts - Silent Partner Dance & Electronic | Funky [Audio Library] Youtube Audio Library,8NEJyY_u00A,CONFIDENT-SASSY,t
Air Hockey Saloon - Chris Zabriskie   [Free Music] Audio Library,87J07h-_wZA,CHILL,t
No Copyright Music ♫ Night Out - LiQWYD ♫ FREE MUSIC ARMY,6qxNWuk6xDo,CHILL,t
Reggae Music [No Copyright & Royalty Free] Upbeat Chilled Happy Island | EASY JAM,5duYwH-R8lE,CHILL,t
Persian Bump Copyright Free music for youtube audio library Copyright free music,dIGvvTX19NM,HAPPY,t
DJ VAL - Ha Do Di Da [ Free Music ] 2019,fb7VRQDptas,HAPPY,t
Aesthetic Audios/Music (Copyright FREE) // Music I use for my videos,Qo26gjK6OGQ,CHILL,t
Spite — ZAYFALL [Car Music],JAPBbg2-Eyo,HAPPY,t
♫ Top 5 Best Music on FREE MUSIC ARMY ♫ No Copyright Music ♫,J7VKsujVHBE,HAPPY,t
Jeremy Blake - Sunspots (Original Song),J78JM4AaFkY,CHILL,t
국내 최고의 유튜브 소속사! 샌드박스 웰컴키트 언박싱,wVQcKnvwPV0,HAPPY,t
J. Cole - Can't Cry (Instrumental Remake),gUzCmPojwkM,SAD,t
Heliograph - Chris Zabriskie | YouTube Audio Library,UJZ58Zi3exI,CHILL,t
Emotional Cinematic Music - The Storm (Copyright Free Music),ny1YXqbc9IM,CONFIDENT-SASSY,t
No Copyright Music ♫ Landscape lover - Vendredi ♫ Free Music Army,S4g-roIWyqI,HAPPY,t
Audio Library Music For Morning,BsbD0aoTlng,HAPPY,t
Outside (The Lay for Fall) by Muciojad | Chillstep Downtempo No Copyright Music,URrpZJRQC5k,CHILL,t
AROND - Do Jutra (No Copyright Music),sqSRwKiWfDo,CONFIDENT-SASSY,t
[No Copyright Music] veseria - Ocean Bliss,wpNS-eysBGk,HAPPY,t
No Copyright Background Music for Youtube videos/Videos background Audio,pEK8Okm6bLM,CHILL,t
Last Heroes x TwoWorldsApart - Eclipse (feat. AERYN) | No Copyright Music,gmh2j0beukU,IN-LOVE,t
Diamond Eyes - Everything | No Copyright Music,bXTt2GmOvs0,IN-LOVE,t
Kontinuum - First Rain [NCS Release] nocopyrightsounds Youtube Audio Library,pVauX2RKodQ,HAPPY,t
No copyright music ♫ Evening Train - Pold ♫ Free Music Army,zgCh3KsFM78,CHILL,t
JJD   Adventure [NCS Release] Youtube Audio Library,owNxqkEDtvk,HAPPY,t
Sad Slow Background Music ( Free Download No Copyright ),l89xsFPaJl4,SAD,t
Donkey Kong 64 BONUS & LAST VIDEO SERIES # 1  (Audio Library Free music) [via torchbrowser.com],Mw3JFxTKz2k,CHILL,t
Out of the Skies Under the Earth - Chris Zabriskie | YouTube Audio Library,up354tvRND8,CHILL,t
Copyright Free Romantic Music For Wedding | Emotional Love Song,P0FT10umHgo,HAPPY,
THBD - Good For You (No Copyright Music),Ck0yeoa-XO4,HAPPY,f
Funkorama (Royalty Free Music - No Copyright Beat) Cold Funk,6uJUWyZcNWA,HAPPY,
